observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
BaF3-EpoR			0.8733	0	NaN			
BaF3-EpoR			1.1119	1	NaN			
BaF3-EpoR			3.3535	5	NaN			
BaF3-EpoR			3.5866	8	NaN			
BaF3-EpoR			3.6225	10	NaN			
BaF3-EpoR			3.9453	12	NaN			
BaF3-EpoR			3.8467	14	NaN			
BaF3-EpoR			4.035	16	NaN			
BaF3-EpoR			3.6135	18	NaN			
BaF3-EpoR			4.2412	20	NaN			
BaF3-EpoR			2.9231	25	NaN			
BaF3-EpoR			3.3087	30	NaN			
BaF3-EpoR			2.6541	35	NaN			
BaF3-EpoR			2.5824	40	NaN			
BaF3-EpoR			2.8155	45	NaN			
BaF3-EpoR			2.3223	50	NaN			
BaF3-EpoR			2.1071	55	NaN			
BaF3-EpoR			1.6409	60	NaN			
CFUe			0.02	0	NaN			
CFUe			0.45	1	NaN			
CFUe			1.56	5	NaN			
CFUe			1.45	8	NaN			
CFUe			1.21	10	NaN			
CFUe			1.19	12	NaN			
CFUe			1.11	14	NaN			
CFUe			1.14	16	NaN			
CFUe			0.92	18	NaN			
CFUe			0.79	20	NaN			
CFUe			0.74	25	NaN			
CFUe			0.67	30	NaN			
CFUe			0.53	35	NaN			
CFUe			0.36	40	NaN			
CFUe			0.39	45	NaN			
CFUe			0.36	50	NaN			
CFUe			0.31	55	NaN			
CFUe			0.2	60	NaN			
